time,sentiment,contributors_active,contributors_created,posts_active,posts_created,interactions,social_dominance,open,close,high,low,volume_24h,market_cap,circulating_supply,galaxy_score,volatility,alt_rank
2024-03-01,84,831,393,1248,538,668355,0.14643573313495672,0.8562035044,1.2406576938,1.3122805076,0.8278804451,382518499.91,1239317998.04,998920172.89,70.0,0.1476,19.0
2024-03-02,84,845,283,1282,349,653915,0.16144347085832014,1.2408021076,1.3879020848,1.4010290705,1.1392785671,271464656.83,1386403390.5,998920172.89,56.0,0.1384,42.0
2024-03-03,83,904,311,1327,389,565754,0.1696978687379952,1.3865309170895532,1.610116146,1.7886067749232866,1.3686520324,417929568.393215,1608377498.95,998920172.89,47.0,0.1456,13.0
2024-03-04,80,788,202,1145,241,380121,0.13600416208370256,1.6108435260749343,1.4864702463,1.9171291033574163,1.3373223295,489524073.84,1484865115.4,998920172.89,39.0,0.0642,638.0
2024-03-05,84,762,197,1051,227,753567,0.14251697728406848,1.4833457452923882,1.5345168435,1.9556146596,1.0531445363882026,1079961160.45,1532829187.69,998920172.89,51.0,0.0983,38.0
2024-03-06,83,863,407,1203,515,764202,0.1673052451515552,1.5344861674,1.8467590977,2.225336354187309,1.4434295305,996839319.64,1844764917.15,998920172.89,41.0,0.154,16.0
2024-03-07,93,828,241,1166,306,4145508,0.16397776877728273,1.8467609952,1.7145873354,1.8916711427945792,1.6540287270488336,445331478.72,1712703923.38,998920172.89,54.0,0.087,860.0
2024-03-08,85,818,189,1151,226,993282,0.16774170982870235,1.7145553467,2.1599751481,2.3681582313,1.7046655310502368,689726028.9,2157642748.42,998920172.89,31.0,0.112,9.0
2024-03-09,82,701,204,1013,248,645056,0.13769012246673282,2.1599751481,2.1832621816,2.2349686942,2.0307912847,300397111.84,2180907475.96,998920172.89,53.0,0.059,274.0
2024-03-10,87,709,241,968,276,1897186,0.13743596733340147,2.1832650247,2.1368168813,2.4754563384940274,2.036127714357109,356574837.98,2134518057.65,998920172.89,53.0,0.0382,270.0
2024-03-11,86,724,152,995,173,2039009,0.13491086391764878,2.1368254597,2.1054361514,2.2665447753,2.0211629023,285078098.82,2103162644.41,998920172.89,33.0,0.0416,499.0
2024-03-12,85,705,157,952,175,660483,0.12763584100220948,2.1053925831,2.1723186955,2.1741027352,1.8041507083,336085229.52,2169972966.9,998920172.89,31.0,0.045,70.0
2024-03-13,83,804,352,1086,405,1677963,0.13180139495877868,2.1720051682,2.63934494,2.7605947597615472,2.1353953440065085,575753063.71,2636494903.76,998920172.89,65.0,0.1128,2.0
2024-03-14,84,1209,633,1720,801,3274051,0.22498776956020122,2.63934494,3.1656813232,3.4327032269,2.6391301319,1204486223.67,3162262934.65,998920172.89,66.0,0.1522,9.0
2024-03-15,85,1219,314,1708,370,1762738,0.23529735910399646,3.1656813232,2.803691337,3.52703194,2.7100829016958112,1074369964.67,2800663835.11,998920172.89,39.0,0.067,483.0
2024-03-16,84,1042,128,1471,155,716958,0.20241912179548927,2.803691337,2.2149458026,2.931381885613457,2.0638861592,798071111.1,2212554044.06,998920172.89,38.0,0.1182,688.0
2024-03-17,86,765,173,1091,230,1310784,0.15049708179123256,2.2149489634,2.9975145585,3.129097561221012,2.185403021735025,835290243.74,2994277761.01,998920172.89,50.0,0.097,8.0
2024-03-18,81,948,470,1391,633,1644564,0.19753528227238,3.0509220025,2.5519454762,3.2808704633672394,2.510554729570677,956277407.8,2549189816.31,998920172.89,52.0,0.1087,623.0
2024-03-19,82,914,165,1251,181,2822895,0.17746065295874147,2.5515986937,2.322033613,2.7304694533515024,2.1284355091,759145350.32,2319526218.14,998920172.89,38.0,0.1079,152.0
2024-03-20,83,890,188,1216,215,1173815,0.16907910287962846,2.322033613,2.6046350036,2.7401427037,1.9581954958,787308275.69,2601822448.15,998920172.89,34.0,0.0729,104.0
2024-03-21,84,684,127,928,158,862396,0.12359770545121819,2.6047075559,2.2884892287,2.6175178695,2.2293560949389053,382516519.48,2285825344.24,998920172.89,35.0,0.0678,697.0
2024-03-22,80,666,140,906,158,744883,0.12164943747205487,2.2882963086,2.2246131739,2.4872293281,2.1224318492,362405962.58,2222210976.29,998920172.89,41.0,0.0493,318.0
2024-03-23,83,707,195,953,227,663571,0.12970133307928386,2.2246131739,2.2814181872,2.4594795167390355,2.1426542237,326037068.54,2278960832.08,998920172.89,41.0,0.0334,237.0
2024-03-24,84,654,109,860,124,873651,0.12274807242707196,2.281424376,2.820338432,2.8482182707927155,2.2239436740639786,372499983.29,2817292954.12,998920172.89,53.0,0.0639,38.0
2024-03-25,83,697,207,978,262,465148,0.13492055827864544,2.820338432,2.6895340893,2.9783287482121574,2.635289733619187,567734621.01,2686629857.49,998920172.89,37.0,0.0893,735.0
2024-03-26,79,651,165,944,226,571272,0.12235174571574474,2.6895340893,3.2567266184,3.3576242746448925,2.6758942894206856,707914290.61,3253209916.68,998920172.89,54.0,0.0731,23.0
2024-03-27,81,695,188,1056,277,699242,0.1361066787650381,3.2567061246,3.0505464834,3.4388420861765283,3.005601753659,650382593.63,3047252420.65,998920172.89,50.0,0.0587,683.0
2024-03-28,81,730,247,1208,409,757107,0.15841688031526008,3.0505464834,3.7411777562,3.9344724501950936,2.9232136830490476,872110667.89,3736775173.29,998920172.89,50.0,0.0615,6.0
2024-03-29,93,997,464,1530,597,2995674,0.20058287022288296,3.7408146063,3.9210325135,4.192790081791891,3.5183621036,980886275.98,3916798476.35,998920172.89,64.0,0.098,6.0
2024-03-30,85,994,275,1487,343,1581220,0.2184535194962788,3.9210448741,4.2624315513,4.638000869648794,3.921000491,1040662197.6,4257828862.13,998920172.89,37.0,0.0798,14.0
2024-03-31,87,983,269,1472,415,1403678,0.21071798718513982,4.2624315513,4.5886304428,4.8499674634069185,4.1910040080676545,821007610.22,4583675515.24,998920172.89,45.0,0.0489,5.0
2024-04-01,34,916,254,1361,320,2224134,0.19406151792894583,4.5882218986,4.229799116,4.6361495315,3.9930298387,800456624.7,4225231664.23,998920172.89,44.0,0.0467,402.0
